Time resolution is 1 ps
A=190 B=151 Cin=0 | Sum=01010101 Cout=1
A=190 B=151 Cin=1 | Sum=01010110 Cout=1
A=190 B=152 Cin=0 | Sum=01010110 Cout=1
A=190 B=152 Cin=1 | Sum=01010111 Cout=1
A=190 B=153 Cin=0 | Sum=01010111 Cout=1
A=190 B=153 Cin=1 | Sum=01011100 Cout=1
A=190 B=154 Cin=0 | Sum=01011000 Cout=1
A=190 B=154 Cin=1 | Sum=01011001 Cout=1
A=190 B=155 Cin=0 | Sum=01011001 Cout=1
A=190 B=155 Cin=1 | Sum=01011010 Cout=1
A=190 B=156 Cin=0 | Sum=01011010 Cout=1
A=190 B=156 Cin=1 | Sum=01011011 Cout=1
A=190 B=157 Cin=0 | Sum=01011011 Cout=1
A=190 B=157 Cin=1 | Sum=01011000 Cout=1
A=190 B=158 Cin=0 | Sum=01011100 Cout=1
A=190 B=158 Cin=1 | Sum=01011101 Cout=1
A=190 B=159 Cin=0 | Sum=01011101 Cout=1
A=190 B=159 Cin=1 | Sum=01011110 Cout=1
A=190 B=160 Cin=0 | Sum=01011110 Cout=1
A=190 B=160 Cin=1 | Sum=01011111 Cout=1
A=190 B=161 Cin=0 | Sum=01011111 Cout=1
A=190 B=161 Cin=1 | Sum=01110100 Cout=1
A=190 B=162 Cin=0 | Sum=01100000 Cout=1
A=190 B=162 Cin=1 | Sum=01100001 Cout=1
A=190 B=163 Cin=0 | Sum=01100001 Cout=1
A=190 B=163 Cin=1 | Sum=01100010 Cout=1
A=190 B=164 Cin=0 | Sum=01100010 Cout=1
A=190 B=164 Cin=1 | Sum=01100011 Cout=1
A=190 B=165 Cin=0 | Sum=01100011 Cout=1
A=190 B=165 Cin=1 | Sum=01100000 Cout=1
A=190 B=166 Cin=0 | Sum=01100100 Cout=1
A=190 B=166 Cin=1 | Sum=01100101 Cout=1
A=190 B=167 Cin=0 | Sum=01100101 Cout=1
A=190 B=167 Cin=1 | Sum=01100110 Cout=1
A=190 B=168 Cin=0 | Sum=01100110 Cout=1
A=190 B=168 Cin=1 | Sum=01100111 Cout=1
